Classificação;Descrição;Código;Preço
Produto;Bucha da Balança;0145;R$ 0,00
Produto;Anel de Vedação do Bujão do Cárter;0146;R$ 0,00
Produto;Volante;0147;R$ 0,00
Serviço;Serviços de manutenção eletromecânica;0150;R$ 0,00
Produto;Kit Amortecedor;0170;R$ 0,00
Produto;Coxim;0171;R$ 0,00
Produto;Bico de Sensor;0174;R$ 0,00
Produto;Caixa de Direção;0175;R$ 0,00
Produto;Bucha da Barra Estabilizadora;0179;R$ 0,00
Serviço;Serviço de Torneiro Mecânico;0180;R$ 0,00
Produto;Polia da correia dentada;0185;R$ 0,00
Produto;Kit Batente do Amortecedor dianteiro;0187;R$ 0,00
Produto;Mangueira do Respiro do Motor;0190;R$ 0,00
Produto;Cabo do Aterramento;0191;R$ 0,00
Produto;Cabo de Embreagem;0193;R$ 0,00
Produto;Lâmpada de Freio;0194;R$ 0,00
Produto;Lâmpada da Placa;0195;R$ 0,00
Serviço;Balanceamento;0196;R$ 0,00
Produto;Terminal da Bobina;0197;R$ 0,00
Serviço;Serviço de pintura e diamantação de rodas;0200;R$ 0,00
Serviço;Serviço de Lanternagem;200;R$ 0,00
Produto;Jogo de Sapata de Freio;201;R$ 0,00
Serviço;Limpeza, Lubrificação e Regulagem/Troca de Freio Traseiro;202;R$ 0,00
Produto;Carter;203;R$ 0,00
Serviço;Troca do Cárter e Pescador da Bomba de Óleo;205;R$ 0,00
Produto;Combustível;206;R$ 0,00
Serviço;Aplicação scanner e ajuste eletrônico;207;R$ 0,00
Produto;Alavanca Freio de Mão Completa;208;R$ 0,00
Serviço;Troca alavanca de freio de mão / Regulagem do Freio Traseiro;209;R$ 0,00
Produto;Guarda Pó Amortecedor;210;R$ 0,00
Produto;Rotor;211;R$ 0,00
Produto;LAMPADA H7;212;R$ 0,00
Produto;Jogo de cabos e velas;213;R$ 0,00
Produto;Bucha dianteira da balança dianteira;214;R$ 0,00
Produto;Reparo do setor de direção;215;R$ 0,00
Produto;Cubo de roda;216;R$ 0,00
Produto;Coxim com rolamento;217;R$ 0,00
Serviço;Mão de obra, desmontagem do painel, troca do evaporador;218;R$ 0,00
Serviço;REVISAO MECANICA;219;R$ 0,00
Serviço;SERVIÇO DE MOTOBOY;221;R$ 0,00
Serviço;SERVIÇO MECÂNICO;222;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DA  BIELETA;224;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DA TRIZETA;225;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO AMORTECEDOR TRASEIRO;226;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DOS BATENTES DO AMORTECEDOR DIANTEIRO;227;R$ 0,00
Serviço;REVISÃO DOS FREIOS;228;R$ 0,00
Produto;REPARO PINÇA DE FREIO;229;R$ 0,00
Produto;REPARO DOS BICOS INJETORES;230;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DAS CORREIAS;231;R$ 0,00
Serviço;REGULAGEM DA SAPATA DE FREIO;232;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DO ROLAMENTO DE RODA DIANTEIRO;233;R$ 0,00
Produto;FILTRO DE OLEO DA CAIXA DE MARCHA;234;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇÃO DO SENSOR DO ABS;235;R$ 0,00
Produto;MÓDULO DO ABS;236;R$ 0,00
Produto;GARFO DA EMBREAGEM;237;R$ 0,00
Produto;CORREIA DO HIDRAULICO;238;R$ 0,00
Produto;JUNTA COLETOR DE ADMISSÃO;239;R$ 0,00
Produto;RETENTOR DO VOLANTE;240;R$ 0,00
Produto;CILINDRO AUXILIAR DA EMBREAGEM;241;R$ 0,00
Produto;Braços Axiais;242;R$ 0,00
Produto;BOMBA DE COMBUSTÍVEL;325;R$ 0,00
Produto;DEFLETOR DE PASTILHA;456;R$ 0,00
Serviço;Buchas dos braços da suspensão traseira;1560;R$ 0,00
Serviço;SERVIÇO DE RETIFICA DE CABEÇOTE;1972;R$ 0,00
Serviço;ANTI-CHAMA;1973;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DA CX DE MARCHA;1974;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DA CORREIA DENTADA;1975;R$ 0,00
Serviço;REPARO NA ALAVANCA DE MARCHA;1976;R$ 0,00
Serviço;SELO DO CABEÇOTE;1977;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DA PASTILHA DE FREIO DIANTEIRA;1978;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DO ARTICULADOR DE DIREÇÃO;1979;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DO CABEÇOTE;1980;R$ 0,00
Serviço;BICO INJETOR;1981;R$ 0,00
Serviço;SONDA POS CATALISADOR;1982;R$ 0,00
Serviço;LIMPEZA DE TROCA DO FLUIDO DE DIREÇÃO HIDRAULICA;1983;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DO FLUIDO DE FREIO;1985;R$ 0,00
Serviço;REMOÇÃO E INSTALAÇAO DOS BATENTES DO AMORTECEDOR TRASEIRO;1986;R$ 0,00
Serviço;REVISÃO DE FUNCIONAMENTO;1987;R$ 0,00
Serviço;OLEO DE HIDRAULICO;1989;R$ 0,00
Serviço;TENSOR DA CORREIA DENTADA;1990;R$ 0,00
Serviço;SERVIÇO DE RETIFICA DE MOTOR;2002;R$ 0,00
Serviço;Trava do pedal de embreagem;2025;R$ 0,00
Serviço;REMOÇÃO INSTALAÇÃO CARCAÇA DA VALVULA TEFRMOSTATICA;2050;R$ 0,00
Serviço;REMOÇÃO INSTALAÇÃO HOMOCINETICA;2051;R$ 0,00
Serviço;REMOÇÃO INSTALAÇÃO TAMPA DE VALVULA;2052;R$ 0,00
